FIELD_NAME,SOURCE,RA,DEC,RADIUS,FLUX
RACS_1309-41,CenA,201.366666666667,-43.0111111111111,6.6,0
RACS_1336-41,CenA,201.366666666667,-43.0111111111111,6.6,0
RACS_1315-46,CenA,201.366666666667,-43.0111111111111,6.6,0
RACS_1345-46,CenA,201.366666666667,-43.0111111111111,6.6,0
RACS_0519+23,Crab,83.6291666666667,22.0163888888889,4.2,100
RACS_0542+23,Crab,83.6291666666667,22.0163888888889,4.2,100
RACS_0526+18,Crab,83.6291666666667,22.0163888888889,4.2,100
RACS_0548+18,Crab,83.6291666666667,22.0163888888889,4.2,100
RACS_2004+41,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_1936+41,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_1938+37,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_2004+37,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_2030+37,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_1944+46,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_2014+46,CygA,299.866666666667,40.7338888888889,1.8,0
RACS_1650+04,HerA,252.783333333333,4.9925,2.34,0
RACS_0918-09,HydA,139.520833333333,-12.095,1.2,0
RACS_0916-14,HydA,139.520833333333,-12.095,1.2,0
RACS_0522-04,OriA,83.825,-5.38638888888889,7.11,1
RACS_0543-04,OriA,83.825,-5.38638888888889,7.11,1
RACS_0543+00,OriA,83.825,-5.38638888888889,7.11,1
RACS_0543-09,OriA,83.825,-5.38638888888889,7.11,1
RACS_0522-09,OriA,83.825,-5.38638888888889,7.11,1
RACS_0522-04,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0543-04,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0543+00,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0543-09,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0522-09,OriB,85.4208333333333,-1.89944444444444,4.95,0
RACS_0514-46,PicA,79.95,-45.7647222222222,6.3,0
RACS_0518-41,PicA,79.95,-45.7647222222222,6.3,0
RACS_1232+14,VirA,187.704166666667,12.3911111111111,10.2,100
RACS_1232+09,VirA,187.704166666667,12.3911111111111,10.2,100
RACS_0352-64,PKSB0407-658,62.0833333333333,-65.7525,0.36,0
RACS_0409-69,PKSB0407-658,62.0833333333333,-65.7525,0.36,0
RACS_0438-64,PKSB0407-658,62.0833333333333,-65.7525,0.36,0
RACS_0406-60,PKSB0407-658,62.0833333333333,-65.7525,0.36,0
RACS_0425-72,PKSB0409-752,62.2,-75.1219444444444,0.78,0
RACS_0347-77,PKSB0409-752,62.2,-75.1219444444444,0.78,0
RACS_0731+00,PKSB0723-008,111.458333333333,-0.915277777777778,0.36,0
RACS_1944-46,PKSB1932-464,293.983333333333,-46.3441666666667,0.63,0
RACS_1914-46,PKSB1932-464,293.983333333333,-46.3441666666667,0.63,0
